zip,CON,DEM,GRE,IND,LIB,REP,UNK,total
48421,0.0,3472.0,0.0,0.0,225.0,607.0,0.0,4304.0
48422,0.0,100.0,0.0,0.0,0.0,963.0,0.0,1063.0
48423,0.0,8383.0,0.0,0.0,0.0,10365.0,0.0,18748.0
48427,0.0,160.0,0.0,0.0,0.0,275.0,0.0,435.0
48428,0.0,638.0,0.0,0.0,0.0,1505.0,0.0,2143.0
48429,0.0,2680.0,0.0,0.0,0.0,2793.0,0.0,5473.0
48430,0.0,31560.0,0.0,0.0,0.0,19362.0,0.0,50922.0
48433,0.0,12857.0,0.0,0.0,0.0,8966.0,0.0,21823.0
48434,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
48436,0.0,805.0,0.0,0.0,0.0,1560.0,0.0,2365.0
48437,0.0,163.0,0.0,0.0,0.0,0.0,0.0,163.0
48438,0.0,3338.0,0.0,0.0,0.0,1900.0,0.0,5238.0
48439,0.0,25452.0,0.0,0.0,150.0,17729.0,0.0,43331.0
48440,0.0,150.0,0.0,0.0,0.0,0.0,0.0,150.0
48441,0.0,501.0,0.0,0.0,0.0,375.0,0.0,876.0
48442,0.0,3442.0,0.0,0.0,0.0,6509.0,0.0,9951.0
48444,0.0,569.0,0.0,0.0,0.0,1305.0,0.0,1874.0
48445,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0
48446,0.0,9632.0,0.0,0.0,50.0,4474.0,0.0,14156.0
48449,0.0,3173.0,0.0,0.0,0.0,700.0,0.0,3873.0
48450,0.0,350.0,0.0,0.0,0.0,350.0,0.0,700.0
48451,0.0,5839.0,0.0,0.0,0.0,1320.0,0.0,7159.0
48453,0.0,1353.0,0.0,0.0,0.0,2887.0,0.0,4240.0
48455,0.0,1484.0,0.0,0.0,0.0,3176.0,0.0,4660.0
48456,0.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0
48457,0.0,977.0,0.0,0.0,0.0,760.0,0.0,1737.0
48458,0.0,2593.0,0.0,0.0,0.0,360.0,0.0,2953.0
48460,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,1350.0
48461,0.0,100.0,0.0,0.0,0.0,800.0,0.0,900.0
48462,0.0,3172.0,0.0,0.0,0.0,4801.0,0.0,7973.0
